class_entity,count,class_entity_label
Q2593777,3853,grave field
Q634099,3852,rural settlement of Russia
Q2116450,3824,manor estate
Q3052382,3824,fonds
Q2514025,3785,posyolok
Q744691,3780,Mira variable
Q7278,3777,political party
Q202444,3769,given name
Q42195,3762,petroglyph
Q121117,3750,supercomputer
Q21573182,3741,Naturdenkmal in Germany
Q3464665,3688,television series season
Q16466010,3639,association football match
Q62447,3633,aerodrome
Q46587,3568,active galactic nucleus
Q15303838,3567,municipality seat
Q55659107,3565,intermittent natural watercourse
Q40231,3553,election
Q71798532,3553,blue object
Q506240,3512,television film
Q159334,3498,secondary school
Q67035425,3484,ASTM standard
Q207524,3469,islet
Q1529096,3468,village in Turkey
Q740445,3459,ridge
Q11276,3451,globular cluster
Q7604693,3389,Statutory Rules of Northern Ireland
Q1266946,3300,thesis
Q192287,3290,subdivisions of Russia
Q482,3277,poetry
Q17018380,3273,bight
Q7321974,3258,cairn
Q15221623,3244,bilateral relation
Q571,3232,book
Q71965429,3208,Seyfert 1 galaxy
Q5358913,3177,elementary school in Japan
Q5871,3170,white dwarf
Q104093746,3153,lake or pond
Q106006703,3129,local regulations of the People's Republic of China
Q2467461,3117,academic department
Q65661087,3074,village in Belarus
Q40080,3051,beach
Q358,3035,heritage site
Q575759,3034,war memorial
Q18663566,3008,dissolved municipality of Japan
Q72803622,3004,emission-line star
Q102496,2987,parish
Q2732840,2978,Gram panchayat
Q26703203,2977,stumbling stone
Q43460564,2958,chemical entity
Q3950,2957,villa
Q842402,2952,Hindu temple
Q72803426,2923,horizontal branch star
Q50386450,2921,operatic character
Q3957,2899,town
Q20541692,2899,"settlement in Galicia, Spain"
Q35509,2895,cave
Q928830,2883,metro station
Q166735,2880,swamp
Q3508250,2880,Syndicat intercommunal
Q212198,2879,pub
Q50231,2868,administrative territorial entity of the People's Republic of China
Q222910,2859,compilation album
Q178561,2852,battle
Q106474968,2844,ethnic group by settlement in Macedonia
Q174782,2844,square
Q6451276,2836,Congressional Research Service report
Q3937,2790,supernova
Q12317349,2785,main library
Q47345468,2773,tennis tournament edition
Q459297,2766,qanat
Q15647814,2766,Wikimedia administration category
Q728937,2756,railway line
